"id","專案區位","專案代碼","專案名稱","系統樹木","專案樹木","樹種編號","樹種名稱","X坐標","Y坐標","狀況","註記","樹木備註","樹高（公尺）","胸徑（公分）","調查備註","調查時間","碳儲存量","推估年碳吸存量"
"42","高雄港","14","港區植栽12區","43","43","0181","海檬果","120.29965862","22.571119415","正常","無",,"6.92","19.4",,"2022-11-21 00:00:00","110.23","6.7"
"43","高雄港","14","港區植栽12區","39","39","0181","海檬果","120.29955133","22.571047589","正常","無",,"5.9","17",,"2022-11-21 00:00:00","72.17","4.93"
"44","高雄港","14","港區植栽12區","41","41","0181","海檬果","120.29959425","22.571078549","正常","無",,"5.78","10.2","分枝 8.0","2022-11-21 00:00:00","25.45","2.75"
"45","高雄港","17","港區植栽15區","53","53","0013","大葉山欖","120.29672569","22.534813355","正常","無",,"4.29","5.4",,"2022-11-21 00:00:00","6.99","1.34"
"46","高雄港","17","港區植栽15區","54","54","0013","大葉山欖","120.29659965","22.534984297","正常","無","缺水","3.95","4.5",,"2022-11-21 00:00:00","4.47","1.01"
"47","高雄港","15","港區植栽13區","55","55","0054","木賊葉木麻黃","120.29850661","22.571301457","正常","無","無","15.1","46.2",,"2022-11-21 00:00:00","2264.32","63.79"
"48","高雄港","15","港區植栽13區","57","57","0054","木賊葉木麻黃","120.29822632","22.571472353","正常","無","無","9.45","19.7",,"2022-11-21 00:00:00","257.66","15.44"
"49","高雄港","17","港區植栽15區","59","59","0255","黃槿","120.29619929","22.535486591","正常","無",,"4.3","6.1",,"2022-11-21 00:00:00","7.49","1.29"
"50","高雄港","17","港區植栽15區","56","56","0255","黃槿","120.29625291","22.535512604","正常","無",,"4.02","5.7",,"2022-11-21 00:00:00","6.12","1.12"
"51","高雄港","15","港區植栽13區","60","60","0054","木賊葉木麻黃","120.29822498","22.571533034","正常","無","無","15","0",,"2022-11-21 00:00:00","0","0"
"52","高雄港","15","港區植栽13區","58","58","0268","榕樹","120.29826253","22.571503313","正常","無","無","10.18","43.6","分枝 15.1","2022-11-21 00:00:00","809.66","24"
"53","高雄港","17","港區植栽15區","61","61","0346","瓊崖海棠","120.29626966","22.53540174","正常","無","斷頭","2.47","5",,"2022-11-21 00:00:00","3.97","0.82"
"54","高雄港","15","港區植栽13區","62","62","0256","黑板樹","120.29824376","22.571582569","正常","無","無","7.97","19.2",,"2022-11-21 00:00:00","125.71","7.71"
"55","高雄港","17","港區植栽15區","63","63","0255","黃槿","120.29633134","22.535326179","正常","無",,"4.15","6",,"2022-11-21 00:00:00","7","1.22"
"56","高雄港","15","港區植栽13區","64","64","0070","可可椰子","120.29818005","22.571538297","正常","無","無","8.29","25.1",,"2022-11-21 00:00:00","293.74","14.2"
"57","高雄港","17","港區植栽15區","65","65","0255","黃槿","120.29639302","22.535240709","正常","無",,"4.33","6",,"2022-11-21 00:00:00","7.3","1.28"
"58","高雄港","17","港區植栽15區","67","67","0255","黃槿","120.29647364","22.535140374","正常","無",,"4.33","6.7",,"2022-11-21 00:00:00","9.1","1.44"
"59","高雄港","15","港區植栽13區","66","66","0373","欖仁","120.29811501","22.571499598","正常","無","無","8.02","20.3","分枝15.2 21.4","2022-11-21 00:00:00","172.66","10.08"
"60","高雄港","15","港區植栽13區","68","68","0074","白水木","120.29814451","22.571468638","正常","無","無","4.46","16.1",,"2022-11-21 00:00:00","65.02","4.67"
"61","高雄港","17","港區植栽15區","69","69","0255","黃槿","120.29697641","22.534558801","正常","無","無","3.75","5.1",,"2022-11-21 00:00:00","4.57","0.92"
"62","高雄港","17","港區植栽15區","70","70","0255","黃槿","120.29705819","22.534466517","正常","無",,"4.07","6.2",,"2022-11-21 00:00:00","7.33","1.24"
"63","高雄港","15","港區植栽13區","71","71","0054","木賊葉木麻黃","120.29820352","22.571747273","正常","無","無","14","26.2",,"2022-11-21 00:00:00","675.16","31.42"
"64","高雄港","17","港區植栽15區","72","72","0255","黃槿","120.2971574","22.53437733","正常","無",,"4.35","6.9",,"2022-11-21 00:00:00","9.7","1.49"
"65","高雄港","15","港區植栽13區","73","73","0054","木賊葉木麻黃","120.2981995","22.571698976","正常","無","無","12.71","21.1",,"2022-11-21 00:00:00","397.55","22.42"
"66","高雄港","17","港區植栽15區","74","74","0255","黃槿","120.29722175","22.534275755","正常","無",,"4.28","6.2",,"2022-11-21 00:00:00","7.71","1.3"
"67","高雄港","15","港區植栽13區","75","75","0255","黃槿","120.29812976","22.571790616","正常","無","無","10.76","26.6",,"2022-11-21 00:00:00","356.62","16.38"
"68","高雄港","17","港區植栽15區","77","77","0255","黃槿","120.29733435","22.534156839","正常","無",,"4.75","6.2",,"2022-11-21 00:00:00","8.55","1.45"
"69","高雄港","15","港區植栽13區","76","76","0054","木賊葉木麻黃","120.29802247","22.571721267","正常","無","無","13.08","31.7","上移5公分","2022-11-21 00:00:00","923.43","36.29"
"70","高雄港","17","港區植栽15區","78","78","0255","黃槿","120.29740406","22.534052787","正常","無",,"4.08","5.9",,"2022-11-21 00:00:00","6.65","1.18"
"71","高雄港","15","港區植栽13區","79","79","0054","木賊葉木麻黃","120.29805466","22.571851296","正常","無","無","13","28.5",,"2022-11-21 00:00:00","741.84","32.04"
"72","高雄港","17","港區植栽15區","80","80","0255","黃槿","120.29749252","22.533946258","正常","無",,"4.31","6.4",,"2022-11-21 00:00:00","8.27","1.36"
"73","高雄港","15","港區植栽13區","81","81","0255","黃槿","120.29799699","22.571921884","正常","無","無","9.85","20.1","分之2 23.4上移5公分","2022-11-21 00:00:00","186.41","10.97"
"74","高雄港","17","港區植栽15區","82","82","0255","黃槿","120.29757295","22.533852115","正常","無",,"4.37","6.4",,"2022-11-21 00:00:00","8.38","1.38"
"75","高雄港","15","港區植栽13區","83","83","0070","可可椰子","120.29790848","22.571833959","正常","無","無","10.77","30.7",,"2022-11-21 00:00:00","570.89","23.09"
"76","高雄港","15","港區植栽13區","84","84","0255","黃槿","120.29785215","22.571960273","正常","無","無","10.58","19","分枝 27.0","2022-11-21 00:00:00","178.91","11.07"
"77","高雄港","17","港區植栽15區","85","85","0255","黃槿","120.29766155","22.533738154","傾斜","無",,"4.38","6.1",,"2022-11-21 00:00:00","7.63","1.32"
"78","高雄港","15","港區植栽13區","86","86","0054","木賊葉木麻黃","120.29784008","22.5721225","正常","無","無","11.9","47.5",,"2022-11-21 00:00:00","1886.3","51.86"
"79","高雄港","17","港區植栽15區","87","87","0255","黃槿","120.29774722","22.533621714","正常","無",,"3.82","5.7",,"2022-11-21 00:00:00","5.81","1.07"
"80","高雄港","7","港區植栽5區","88","88","0054","木賊葉木麻黃","120.29805565","22.610248555","正常","無","榕樹附生","15.4","97.4","榕樹附生","2022-11-21 00:00:00","10264","149.82"
"81","高雄港","15","港區植栽13區","89","89","0054","木賊葉木麻黃","120.29779985","22.57216089","正常","無","無","14.28","31.9",,"2022-11-21 00:00:00","1020.91","39.9"
"82","高雄港","7","港區植栽5區","91","91","0268","榕樹","120.29807031","22.610251326","正常","無","無","8.13","17.3","dbh=16.3
dbh=7.9","2022-11-21 00:00:00","101.8","6.86"
"83","高雄港","17","港區植栽15區","90","90","0255","黃槿","120.29785983","22.533512707","正常","無",,"4.38","5.7",,"2022-11-21 00:00:00","6.67","1.22"
"84","高雄港","15","港區植栽13區","92","92","0255","黃槿","120.29769793","22.572105163","正常","無","無","11","45.8","分枝 43.0","2022-11-21 00:00:00","1080.83","30.69"
"85","高雄港","17","港區植栽15區","93","93","0255","黃槿","120.2979566","22.533386358","正常","無","斷頭","4.22","5.8",,"2022-11-21 00:00:00","6.65","1.2"
"86","高雄港","15","港區植栽13區","94","94","0373","欖仁","120.29776632","22.572245718","正常","無","無","9.22","16.8","分枝 12.9","2022-11-21 00:00:00","135.95","9.39"
"87","高雄港","17","港區植栽15區","95","95","0255","黃槿","120.2980612","22.533250098","正常","無",,"5.8","3.9",,"2022-11-21 00:00:00","4.13","1.07"
"88","高雄港","7","港區植栽5區","96","96","0016","大葉桃花心木","120.29470857","22.610461018","正常","無","無","8.27","16.9",,"2022-11-21 00:00:00","125.56","8.63"
"89","高雄港","7","港區植栽5區","97","97","0016","大葉桃花心木","120.29474454","22.610510127","正常","無","無","7.43","27.3",,"2022-11-21 00:00:00","294.38","13.2"
"90","高雄港","7","港區植栽5區","98","98","0016","大葉桃花心木","120.29459621","22.610480789","正常","無","無","6.9","14",,"2022-11-21 00:00:00","71.89","5.85"
"91","高雄港","17","港區植栽15區","99","99","0255","黃槿","120.29815507","22.533136136","正常","無",,"3.9","5.1",,"2022-11-21 00:00:00","4.75","0.96"
"92","高雄港","7","港區植栽5區","100","100","0016","大葉桃花心木","120.29510706","22.610705326","正常","無","無","7.5","21.4",,"2022-11-21 00:00:00","182.59","10.17"
"93","高雄港","7","港區植栽5區","101","101","0016","大葉桃花心木","120.29529024","22.610569284","正常","無","無","7.2","15.2",,"2022-11-21 00:00:00","88.43","6.68"
"94","高雄港","7","港區植栽5區","102","102","0016","大葉桃花心木","120.2952173","22.610545482","正常","無","無","6.6","17.4",,"2022-11-21 00:00:00","106.23","7.11"
"95","高雄港","17","港區植栽15區","104","104","0255","黃槿","120.29823836","22.533012264","正常","無",,"3.5","5.5",,"2022-11-21 00:00:00","4.96","0.94"
"96","高雄港","7","港區植栽5區","105","105","0016","大葉桃花心木","120.29464021","22.61048773","正常","無","無","6","12",,"2022-11-21 00:00:00","45.93","4.29"
"97","高雄港","7","港區植栽5區","106","106","0016","大葉桃花心木","120.29468182","22.610465909","正常","無","無","6","12.7",,"2022-11-21 00:00:00","51.45","4.56"
"98","高雄港","7","港區植栽5區","107","107","0016","大葉桃花心木","120.29493635","22.610486491","正常","無","無","8","18.9",,"2022-11-21 00:00:00","151.92","9.44"
"99","高雄港","7","港區植栽5區","108","108","0016","大葉桃花心木","120.29463661","22.610500063","正常","無","無","8","15.7",,"2022-11-21 00:00:00","104.83","7.69"
"100","高雄港","17","港區植栽15區","109","109","0255","黃槿","120.29834296","22.532868572","正常","無",,"4.47","8.8",,"2022-11-21 00:00:00","16.21","2"
"101","高雄港","7","港區植栽5區","103","103","0016","大葉桃花心木","120.2952173","22.610545482","正常","無","無","7.75","15.7",,"2022-11-21 00:00:00","101.55","7.45"
"102","高雄港","15","港區植栽13區","111","111","0054","木賊葉木麻黃","120.29735863","22.572756545","正常","無","無","9.84","30.1",,"2022-11-21 00:00:00","626.33","25.78"
"103","高雄港","7","港區植栽5區","110","110","0016","大葉桃花心木","120.29476068","22.610529803","正常","無","無","7.3","15.7",,"2022-11-21 00:00:00","95.66","7.02"
"104","高雄港","15","港區植栽13區","112","112","0054","木賊葉木麻黃","120.29729828","22.572754068","正常","無","無","12.16","27.5",,"2022-11-21 00:00:00","646.07","28.8"
"105","高雄港","7","港區植栽5區","113","113","0016","大葉桃花心木","120.29466264","22.610464165","正常","無","無","9","12.7",,"2022-11-21 00:00:00","77.17","6.84"
"106","高雄港","7","港區植栽5區","114","114","0016","大葉桃花心木","120.29488549","22.610547304","正常","無","無","9.7","14.3",,"2022-11-21 00:00:00","105.45","8.41"
"107","高雄港","7","港區植栽5區","115","115","0016","大葉桃花心木","120.29471509","22.6105242","正常","無","無","7.05","15.9",,"2022-11-21 00:00:00","94.75","6.87"
"108","高雄港","7","港區植栽5區","117","117","0016","大葉桃花心木","120.2947624","22.610546296","正常","無","無","6.6","15.4",,"2022-11-21 00:00:00","83.21","6.21"
"109","高雄港","15","港區植栽13區","116","116","0054","木賊葉木麻黃","120.29726207","22.572802365","正常","無","無","12.22","22.3",,"2022-11-21 00:00:00","426.93","22.92"
"110","高雄港","7","港區植栽5區","118","118","0016","大葉桃花心木","120.2947615","22.610545141","正常","無","無","7.3","15.9",,"2022-11-21 00:00:00","98.11","7.12"
"111","高雄港","7","港區植栽5區","119","119","0016","大葉桃花心木","120.29486408","22.610554835","正常","無","無","8.2","18.7",,"2022-11-21 00:00:00","152.43","9.58"
"112","高雄港","7","港區植栽5區","121","121","0016","大葉桃花心木","120.2948652","22.610554508","正常","無","無","8","12.4",,"2022-11-21 00:00:00","65.39","5.93"
"113","高雄港","15","港區植栽13區","120","120","0255","黃槿","120.29726207","22.572849423","正常","無","無","11.66","22.5",,"2022-11-21 00:00:00","276.5","14.73"
"114","高雄港","7","港區植栽5區","122","122","0016","大葉桃花心木","120.29501977","22.61071995","正常","無","無","8.8","18.5",,"2022-11-21 00:00:00","160.11","10.15"
"115","高雄港","7","港區植栽5區","123","123","0016","大葉桃花心木","120.29528136","22.610536916","正常","無","無","6.78","13.6",,"2022-11-21 00:00:00","66.66","5.57"
"116","高雄港","7","港區植栽5區","125","125","0016","大葉桃花心木","120.29527633","22.610540933","正常","無","無","9.25","18",,"2022-11-21 00:00:00","159.32","10.35"
"117","高雄港","15","港區植栽13區","124","124","0054","木賊葉木麻黃","120.29722183","22.572856853","正常","無","無","12.64","30.3",,"2022-11-21 00:00:00","815.29","33.35"
"118","高雄港","7","港區植栽5區","126","126","0016","大葉桃花心木","120.29478703","22.610536931","正常","無","無","7.75","15.6",,"2022-11-21 00:00:00","100.26","7.4"
"119","高雄港","7","港區植栽5區","127","127","0016","大葉桃花心木","120.29467476","22.610542067","正常","無","無","8.69","20.6",,"2022-11-21 00:00:00","196.04","11.29"
"120","高雄港","7","港區植栽5區","128","128","0016","大葉桃花心木","120.29526755","22.610566398","正常","無","無","8.76","17.9",,"2022-11-21 00:00:00","149.21","9.74"
"121","高雄港","7","港區植栽5區","130","130","0016","大葉桃花心木","120.29527643","22.610561284","正常","無","無","8.55","16",,"2022-11-21 00:00:00","116.36","8.39"
"122","高雄港","15","港區植栽13區","129","129","0054","木賊葉木麻黃","120.2972044","22.57288905","正常","無","無","13.6","26.5",,"2022-11-21 00:00:00","670.98","30.91"
"123","高雄港","7","港區植栽5區","131","131","0016","大葉桃花心木","120.2952693","22.610565387","正常","無","無","7.75","15.5",,"2022-11-21 00:00:00","98.98","7.35"
"124","高雄港","7","港區植栽5區","133","133","0297","臺灣欒樹","120.29465604","22.610492098","正常","無","無","7.78","13.9",,"2022-11-21 00:00:00","96.24","7.87"
"125","高雄港","15","港區植栽13區","132","132","0054","木賊葉木麻黃","120.29719501","22.572912579","正常","無","無","10.96","21",,"2022-11-21 00:00:00","339.57","19.23"
"126","高雄港","15","港區植栽13區","134","134","0070","可可椰子","120.29716551","22.572996788","正常","無","無","10.59","28.2",,"2022-11-21 00:00:00","473.65","20.65"
"127","高雄港","7","港區植栽5區","135","135","0297","臺灣欒樹","120.29465604","22.610492098","正常","無","無","7.6","14.5",,"2022-11-21 00:00:00","102.3","8.06"
"128","高雄港","15","港區植栽13區","136","136","0299","蒲葵","120.29714941","22.573005457","正常","無","無","7.16","29.5",,"2022-11-21 00:00:00","350.45","14.68"
"129","高雄港","7","港區植栽5區","137","137","0297","臺灣欒樹","120.29465604","22.610492098","正常","無","無","5.7","13.2",,"2022-11-21 00:00:00","63.58","5.45"
"130","高雄港","15","港區植栽13區","139","139","0299","蒲葵","120.29712527","22.573028985","正常","無","無","8.38","27.6",,"2022-11-21 00:00:00","359.03","15.95"
"131","高雄港","7","港區植栽5區","138","138","0297","臺灣欒樹","120.29465604","22.610492098","正常","無","無","7","16.8",,"2022-11-21 00:00:00","126.49","8.73"
"132","高雄港","7","港區植栽5區","140","140","0297","臺灣欒樹","120.29465604","22.610492098","正常","無","無","6.5","14.1",,"2022-11-21 00:00:00","82.73","6.69"
"133","高雄港","7","港區植栽5區","141","141","0297","臺灣欒樹","120.29465604","22.610492098","正常","無","無","7.3","21",,"2022-11-21 00:00:00","206.11","11.67"
"134","高雄港","15","港區植栽13區","143","143","0054","木賊葉木麻黃","120.29710516","22.573072328","正常","無","無","12.5","26.8",,"2022-11-21 00:00:00","630.75","28.77"
"135","高雄港","7","港區植栽5區","142","142","0297","臺灣欒樹","120.29465604","22.610492098","正常","無","無","6.9","15.9",,"2022-11-21 00:00:00","111.68","8.1"
"136","高雄港","7","港區植栽5區","144","144","0297","臺灣欒樹","120.29465604","22.610492098","正常","無","無","6.9","15.9",,"2022-11-21 00:00:00","111.68","8.1"
"137","高雄港","7","港區植栽5區","147","147","0297","臺灣欒樹","120.29505125","22.610666356","正常","無","無","6.09","16",,"2022-11-21 00:00:00","99.81","7.2"
"138","高雄港","15","港區植栽13區","146","146","0255","黃槿","120.29705822","22.573097095","正常","無",,"8.69","15.1","19.8 12.7","2022-11-21 00:00:00","92.81","7.06"
"139","高雄港","15","港區植栽13區","148","148","0255","黃槿","120.29703542","22.5731392","正常","無","無","8.55","23.4","8.4, 18.5, 13.3","2022-11-21 00:00:00","219.3","11.28"
"140","高雄港","7","港區植栽5區","149","149","0297","臺灣欒樹","120.29505125","22.610666356","正常","無","無","6.52","21.4",,"2022-11-21 00:00:00","191.16","10.65"
"141","高雄港","7","港區植栽5區","150","150","0297","臺灣欒樹","120.29505125","22.610666356","正常","無","無","7.2","15.5",,"2022-11-21 00:00:00","110.74","8.23"
"142","高雄港","7","港區植栽5區","152","152","0297","臺灣欒樹","120.29668968","22.610881553","正常","無","無","8.27","13.6",,"2022-11-21 00:00:00","97.93","8.17"
"143","高雄港","7","港區植栽5區","145","145","0297","臺灣欒樹","120.2950595","22.610668932","正常","無","無","7.6","15",,"2022-11-21 00:00:00","109.48","8.37"
"144","高雄港","7","港區植栽5區","153","153","0297","臺灣欒樹","120.29502232","22.611068378","正常","無","無","7.21","17.3",,"2022-11-21 00:00:00","138.15","9.3"
"145","高雄港","7","港區植栽5區","155","155","0008","土肉桂","120.29496858","22.611107875","正常","無","無","3.58","6.2",,"2022-11-21 00:00:00","7.94","1.35"
"146","高雄港","7","港區植栽5區","157","157","0008","土肉桂","120.29496858","22.611107875","正常","無","無","4.37","6.3",,"2022-11-21 00:00:00","10.01","1.67"
"147","高雄港","7","港區植栽5區","158","158","0297","臺灣欒樹","120.29496858","22.611107875","正常","無","無","5.4","15.3",,"2022-11-21 00:00:00","80.93","6.08"
"148","高雄港","15","港區植栽13區","151","151","0181","海檬果","120.29696166","22.573254367","正常","無","無","3.75","6.8","3.7","2022-11-21 00:00:00","7.34","1.14"
"149","高雄港","7","港區植栽5區","159","159","0297","臺灣欒樹","120.29496858","22.611107875","正常","無","無","7.75","14.7",,"2022-11-21 00:00:00","107.22","8.34"
"150","高雄港","15","港區植栽13區","154","154","0060","水黃皮","120.29689997","22.573249414","正常","無","無","3.24","2.9","1.3 , 4.4, 2.4","2022-11-21 00:00:00","2.13","0.72"
"151","高雄港","7","港區植栽5區","160","160","0297","臺灣欒樹","120.29525665","22.611189654","正常","無","無","7.5","21",,"2022-11-21 00:00:00","211.75","11.99"
"152","高雄港","15","港區植栽13區","156","156","0181","海檬果","120.29686644","22.573336099","正常","無","無","5.18","8.9","4.3, 9.0","2022-11-21 00:00:00","17.37","2.12"
"153","高雄港","7","港區植栽5區","161","161","0297","臺灣欒樹","120.2952585","22.61116867","正常","無","無","8.37","19.1",,"2022-11-21 00:00:00","195.49","12.04"
"154","高雄港","15","港區植栽13區","163","163","0060","水黃皮","120.29674172","22.573416593","正常","無","無","6.25","7.9",,"2022-11-21 00:00:00","30.42","4.14"
"155","高雄港","7","港區植栽5區","162","162","0297","臺灣欒樹","120.29529301","22.611498611","正常","無","無","6.45","20.1",,"2022-11-21 00:00:00","166.83","9.83"
"156","高雄港","7","港區植栽5區","164","164","0297","臺灣欒樹","120.29529301","22.611498611","正常","無","無","7.55","13.9",,"2022-11-21 00:00:00","93.39","7.64"
"157","高雄港","7","港區植栽5區","165","165","0297","臺灣欒樹","120.29529301","22.611498611","正常","無","無","7.84","14.1",,"2022-11-21 00:00:00","99.79","8.06"
"158","高雄港","15","港區植栽13區","166","166","0054","木賊葉木麻黃","120.29661431","22.573497086","正常","無","無","13.78","33.6","21.4","2022-11-21 00:00:00","1092.96","40.8"
"159","高雄港","16","港區植栽14區","167","167","0134","白榕","120.28319857","22.59681257","正常","無",,"3.61","6.6","9.5, 3.2, 4.6","2022-11-21 00:00:00","8.22","1.31"
"160","高雄港","16","港區植栽14區","168","168","0134","白榕","120.28320543","22.596790549","正常","無","無","3.09","6.2","3.2, 6.3, 4.1, 3.5, 3.2","2022-11-21 00:00:00","6.21","1.05"
"161","高雄港","16","港區植栽14區","169","169","0134","白榕","120.28321207","22.596767908","正常","無","無","3.39","5.3","4.2, 4.5, 7.2","2022-11-21 00:00:00","4.98","0.97"
"162","高雄港","16","港區植栽14區","170","170","0134","白榕","120.28324216","22.596662371","正常","無","無","3.44","6.9","6, 4.2","2022-11-21 00:00:00","8.56","1.31"
"163","高雄港","16","港區植栽14區","171","171","0314","雞蛋花","120.28351373","22.5965692","正常","無",,"3.91","16.1","7.7, 13.1","2022-11-21 00:00:00","57","4.09"
"164","高雄港","16","港區植栽14區","172","172","0299","蒲葵","120.28355665","22.596527722","正常","無","無","5.64","22.1",,"2022-11-21 00:00:00","154.93","8.38"
